City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,88,11.45,overcast clouds
1,Sakata,JP,38.9167,139.855,33.98,80,75,32.21,light rain
2,Murgab,TM,37.4966,61.9714,44.47,81,90,9.22,light intensity shower rain
3,Atuona,PF,-9.8,-139.0333,79.18,77,16,19.22,few clouds
4,Klaksvik,FO,62.2266,-6.589,40.12,69,100,17.81,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,61.48,50,64,2.13,broken clouds
6,Brigantine,US,39.4101,-74.3646,47.01,52,1,5.75,clear sky
7,Rikitea,PF,-23.1203,-134.9692,77.31,77,87,9.42,light rain
8,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,90,18.41,light snow
9,Bredasdorp,ZA,-34.5322,20.0403,61.29,88,100,3.0,overcast clouds
10,Khani,GE,41.9563,42.9566,44.17,43,72,7.7,broken clouds
11,Vinh Yen,VN,21.31,105.5967,64.35,63,72,2.44,broken clouds
12,Albany,US,42.6001,-73.9662,41.81,41,0,8.3,clear sky
13,Nelson Bay,AU,-32.7167,152.15,70.29,72,75,4.0,broken clouds
14,Lavrentiya,RU,65.5833,-171.0,-14.53,87,13,3.0,few clouds
15,Kurumkan,RU,54.3,110.3,7.12,96,97,3.6,light snow
16,New Norfolk,AU,-42.7826,147.0587,61.92,55,14,3.0,few clouds
17,Hobart,AU,-42.8794,147.3294,62.26,65,75,5.01,broken clouds
18,West Bay,KY,19.3667,-81.4167,84.27,78,20,3.0,few clouds
19,Kodiak,US,57.79,-152.4072,16.29,57,1,34.52,clear sky
20,Arraial Do Cabo,BR,-22.9661,-42.0278,77.27,88,83,24.65,light rain
21,Katsuura,JP,35.1333,140.3,51.91,65,76,14.67,broken clouds
22,Mount Darwin,ZW,-16.7725,31.5838,72.12,43,1,2.3,clear sky
23,Qaanaaq,GL,77.484,-69.3632,-2.0,69,77,2.26,broken clouds
24,Namatanai,PG,-3.6667,152.4333,82.98,74,97,3.74,overcast clouds
25,Clyde River,CA,70.4692,-68.5914,-1.97,92,90,10.36,light snow
26,Butaritari,KI,3.0707,172.7902,82.53,71,69,17.38,broken clouds
27,Saltillo,MX,25.4167,-101.0,73.99,45,1,6.91,clear sky
28,Touros,BR,-5.1989,-35.4608,83.3,75,8,15.01,clear sky
29,Ushuaia,AR,-54.8,-68.3,46.06,49,75,26.46,broken clouds
30,Jamsa,FI,61.8642,25.19,32.14,99,100,1.9,overcast clouds
31,Kokopo,PG,-4.352,152.2633,81.0,80,99,1.86,overcast clouds
32,Grakhovo,RU,56.0502,51.9676,9.36,93,27,2.68,scattered clouds
33,Marrakesh,MA,31.6315,-8.0083,55.47,41,0,4.61,clear sky
34,Vestmannaeyjar,IS,63.4427,-20.2734,43.88,70,100,22.06,overcast clouds
35,Mehamn,NO,71.0357,27.8492,30.15,93,75,10.36,light snow
36,Ngunguru,NZ,-35.6167,174.5,72.16,92,100,11.32,overcast clouds
37,Goderich,CA,43.7501,-81.7165,43.12,70,0,18.41,clear sky
38,Hermanus,ZA,-34.4187,19.2345,64.9,87,57,7.61,broken clouds
39,Port Alfred,ZA,-33.5906,26.891,71.01,94,100,9.98,overcast clouds
40,Aklavik,CA,68.2191,-135.0107,-3.17,90,100,21.88,overcast clouds
41,Nikolskoye,RU,59.7035,30.7861,23.4,98,100,3.91,light snow
42,Paramirim,BR,-13.4425,-42.2389,73.09,86,100,2.39,overcast clouds
43,San Patricio,US,28.017,-97.5169,68.09,30,0,7.18,clear sky
44,Kahului,US,20.8947,-156.47,81.97,76,40,20.71,scattered clouds
45,Aguimes,ES,27.9054,-15.4461,61.43,74,20,10.36,few clouds
46,San Jose,US,37.3394,-121.895,57.34,73,90,5.01,overcast clouds
47,Santa Cruz,BO,-17.8,-63.1667,78.85,83,90,5.75,overcast clouds
48,Santa Rita Arriba,PA,9.3378,-79.78,83.57,68,90,62.99,overcast clouds
49,Barrow,US,71.2906,-156.7887,-12.98,77,1,13.8,clear sky
50,Tungor,RU,53.3808,142.9564,24.91,87,100,18.79,overcast clouds
51,Laibin,CN,23.7,109.2667,51.49,68,5,8.37,clear sky
52,Georgetown,MY,5.4112,100.3354,78.89,82,20,0.0,few clouds
53,Cabedelo,BR,-6.9811,-34.8339,81.27,77,10,12.62,clear sky
54,Fairbanks,US,64.8378,-147.7164,-8.77,70,1,3.44,light snow
55,Kurilsk,RU,45.2333,147.8833,34.59,72,98,20.51,light rain
56,Hasaki,JP,35.7333,140.8333,46.8,51,49,18.57,scattered clouds
57,San Angelo,US,31.4638,-100.437,70.65,20,1,1.01,clear sky
