City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1,Sakata,JP,33.98,light rain,38.9167,139.855,Hotel Rich & Garden Sakata
3,Atuona,PF,79.18,few clouds,-9.8,-139.0333,Villa Enata
4,Klaksvik,FO,40.12,overcast clouds,62.2266,-6.589,Airbnb rooms
5,Mataura,NZ,61.48,broken clouds,-46.1927,168.8643,Ellie's Villa
6,Brigantine,US,47.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
7,Rikitea,PF,77.31,light rain,-23.1203,-134.9692,People ThankYou
9,Bredasdorp,ZA,61.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
10,Khani,GE,44.17,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
11,Vinh Yen,VN,64.35,broken clouds,21.31,105.5967,Ngoc Lan Hotel - Vinh Phuc
13,Nelson Bay,AU,70.29,broken clouds,-32.7167,152.15,Mantra Nelson Bay
15,Kurumkan,RU,7.12,light snow,54.3,110.3,Ilikchin
16,New Norfolk,AU,61.92,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
17,Hobart,AU,62.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
18,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
19,Kodiak,US,16.29,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
20,Arraial Do Cabo,BR,77.27,light rain,-22.9661,-42.0278,Pousada Porto Praia
21,Katsuura,JP,51.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
24,Namatanai,PG,82.98,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
26,Butaritari,KI,82.53,broken clouds,3.0707,172.7902,Isles Sunset Lodge
27,Saltillo,MX,73.99,clear sky,25.4167,-101.0,Hotel Urdinola
28,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
29,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatros Hotel
30,Jamsa,FI,32.14,overcast clouds,61.8642,25.19,Motel Patalahti
31,Kokopo,PG,81.0,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
32,Grakhovo,RU,9.36,scattered clouds,56.0502,51.9676,Gostinitsa Aslan
33,Marrakesh,MA,55.47,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
